"SampleID","F","R","Extraction_batch","PCR_batch","Plate","Well","Ale_ID","SampleOrigin","IsolationMethod","Tissue","Site","Tree","GlobalSampleID","SampleType","SequencingType","Disease","disease_tissue","site_tissue","FullSiteName","AODProx","AODZone","AODIsolated","Elevation_1haAve","DD_11point5Deg_CLIMEX5km","pAOD","groundfrost","hurs","psl","pv","rainfall","sfcWind","snowLying","sun","tas","tasmax","tasmin","H","NOx","NHx","Ntot","SOx","xSOx","Ca","Mg","CaMg","Cl","Easting","Northing"
"Leaf_16S_F1_R2","F1","R2","1",1,1,"B1",NA,"Microbiome",NA,"Leaf","MOCCA","A8","Microbiome_Leaf_MOCCA_A8","Sample","NovaSeq","DiseaseAOD","DiseaseAOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F10_R10","F10","R10","6",1,2,"B10",NA,"Microbiome",NA,"Leaf","STHWK","A7","Microbiome_Leaf_STHWK_A7","Sample","NovaSeq","DiseaseAOD","DiseaseAOD_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F10_R9","F10","R9","6",1,2,"A10",NA,"Microbiome",NA,"Leaf","STHWK","C3","Microbiome_Leaf_STHWK_C3","Sample","NovaSeq","Control","Control_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F11_R1","F11","R1","3",1,1,"A11",NA,"Microbiome",NA,"Leaf","STHWK","C4","Microbiome_Leaf_STHWK_C4","Sample","NovaSeq","Control","Control_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F11_R2","F11","R2","3",4,13,"H1",NA,"Microbiome",NA,"Leaf","STHWK","A11","Microbiome_Leaf_STHWK_A11","Sample","NovaSeq","DiseaseAOD","DiseaseAOD_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F11_R3","F11","R3","3",1,1,"C11",NA,"Microbiome",NA,"Leaf","STHWK","A10","Microbiome_Leaf_STHWK_A10","Sample","NovaSeq","DiseaseAOD","DiseaseAOD_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F13_R20","F13","R20","7",1,3,"D1",NA,"Microbiome",NA,"Leaf","MOCCA","C2","Microbiome_Leaf_MOCCA_C2","Sample","NovaSeq","Control","Control_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F13_R21","F13","R21","7",1,3,"E1",NA,"Microbiome",NA,"Leaf","MOCCA","A12","Microbiome_Leaf_MOCCA_A12","Sample","NovaSeq","DiseaseAOD","DiseaseAOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F14_R18","F14","R18","7",1,3,"B2",NA,"Microbiome",NA,"Leaf","STHWK","A9","Microbiome_Leaf_STHWK_A9","Sample","NovaSeq","DiseaseAOD","DiseaseAOD_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F14_R6","F14","R6","11",1,4,"F2",NA,"Microbiome",NA,"Leaf","STHWK","C2","Microbiome_Leaf_STHWK_C2","Sample","NovaSeq","Control","Control_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F15_R4","F15","R4","12",1,4,"D3",NA,"Microbiome",NA,"Leaf","MOCCA","CE28","Microbiome_Leaf_MOCCA_CE28","Sample","NovaSeq","Control","Control_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F15_R5","F15","R5","12",1,4,"E3",NA,"Microbiome",NA,"Leaf","MOCCA","E39","Microbiome_Leaf_MOCCA_E39","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F15_R6","F15","R6","12",1,4,"F3",NA,"Microbiome",NA,"Leaf","MOCCA","CE22","Microbiome_Leaf_MOCCA_CE22","Sample","NovaSeq","Control","Control_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F15_R7","F15","R7","12",1,4,"G3",NA,"Microbiome",NA,"Leaf","MOCCA","E40","Microbiome_Leaf_MOCCA_E40","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F15_R8","F15","R8","12",1,4,"H3",NA,"Microbiome",NA,"Leaf","MOCCA","E45","Microbiome_Leaf_MOCCA_E45","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F16_R1","F16","R1","12",1,4,"A4",NA,"Microbiome",NA,"Leaf","MOCCA","CE27","Microbiome_Leaf_MOCCA_CE27","Sample","NovaSeq","Control","Control_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F16_R2","F16","R2","12",1,4,"B4",NA,"Microbiome",NA,"Leaf","MOCCA","E38","Microbiome_Leaf_MOCCA_E38","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F16_R3","F16","R3","12",1,4,"C4",NA,"Microbiome",NA,"Leaf","MOCCA","E31","Microbiome_Leaf_MOCCA_E31","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F16_R4","F16","R4","12",1,4,"D4",NA,"Microbiome",NA,"Leaf","MOCCA","E32","Microbiome_Leaf_MOCCA_E32","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F16_R5","F16","R5","12",1,4,"E4",NA,"Microbiome",NA,"Leaf","MOCCA","CE26","Microbiome_Leaf_MOCCA_CE26","Sample","NovaSeq","Control","Control_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F16_R6","F16","R6","12",1,4,"F4",NA,"Microbiome",NA,"Leaf","MOCCA","CE23","Microbiome_Leaf_MOCCA_CE23","Sample","NovaSeq","Control","Control_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F16_R7","F16","R7","12",1,4,"G4",NA,"Microbiome",NA,"Leaf","MOCCA","E41","Microbiome_Leaf_MOCCA_E41","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F16_R8","F16","R8","12",1,4,"H4",NA,"Microbiome",NA,"Leaf","MOCCA","E43","Microbiome_Leaf_MOCCA_E43","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F17_R1","F17","R1","12",1,4,"A5",NA,"Microbiome",NA,"Leaf","MOCCA","CE21","Microbiome_Leaf_MOCCA_CE21","Sample","NovaSeq","Control","Control_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F17_R2","F17","R2","12",1,4,"B5",NA,"Microbiome",NA,"Leaf","MOCCA","E33","Microbiome_Leaf_MOCCA_E33","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F17_R20","F17","R20","8",1,3,"D5",NA,"Microbiome",NA,"Leaf","STHWK","A19","Microbiome_Leaf_STHWK_A19","Sample","NovaSeq","DiseaseAOD","DiseaseAOD_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F17_R3","F17","R3","12",1,4,"C5",NA,"Microbiome",NA,"Leaf","MOCCA","E42","Microbiome_Leaf_MOCCA_E42","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F17_R4","F17","R4","12",1,4,"D5",NA,"Microbiome",NA,"Leaf","MOCCA","E35","Microbiome_Leaf_MOCCA_E35","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F17_R5","F17","R5","12",1,4,"E5",NA,"Microbiome",NA,"Leaf","STHWK","E35","Microbiome_Leaf_STHWK_E35","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F17_R6","F17","R6","12",1,4,"F5",NA,"Microbiome",NA,"Leaf","STHWK","E34","Microbiome_Leaf_STHWK_E34","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F17_R7","F17","R7","12",1,4,"G5",NA,"Microbiome",NA,"Leaf","STHWK","E40","Microbiome_Leaf_STHWK_E40","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F17_R8","F17","R8","12",1,4,"H5",NA,"Microbiome",NA,"Leaf","STHWK","CE21","Microbiome_Leaf_STHWK_CE21","Sample","NovaSeq","Control","Control_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F18_R1","F18","R1","12",1,4,"A6",NA,"Microbiome",NA,"Leaf","STHWK","CE25","Microbiome_Leaf_STHWK_CE25","Sample","NovaSeq","Control","Control_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F18_R2","F18","R2","12",1,4,"B6",NA,"Microbiome",NA,"Leaf","STHWK","E32","Microbiome_Leaf_STHWK_E32","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F18_R3","F18","R3","12",1,4,"C6",NA,"Microbiome",NA,"Leaf","STHWK","E36","Microbiome_Leaf_STHWK_E36","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F18_R4","F18","R4","12",1,4,"D6",NA,"Microbiome",NA,"Leaf","STHWK","CE23","Microbiome_Leaf_STHWK_CE23","Sample","NovaSeq","Control","Control_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F18_R5","F18","R5","13",1,4,"E6",NA,"Microbiome",NA,"Leaf","STHWK","CE28","Microbiome_Leaf_STHWK_CE28","Sample","NovaSeq","Control","Control_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F18_R6","F18","R6","13",1,4,"F6",NA,"Microbiome",NA,"Leaf","STHWK","E39","Microbiome_Leaf_STHWK_E39","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F18_R7","F18","R7","13",1,4,"G6",NA,"Microbiome",NA,"Leaf","STHWK","E43","Microbiome_Leaf_STHWK_E43","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F18_R8","F18","R8","13",1,4,"H6",NA,"Microbiome",NA,"Leaf","STHWK","CE29","Microbiome_Leaf_STHWK_CE29","Sample","NovaSeq","Control","Control_Leaf","STHWK Leaf","Southwick","AOD",1,"Y",76.20000076,534,0.573390304,94.091978111887,80.9855576146784,1014.70742426711,10.168217847667,663.130038071109,4.57446972566958,7.10177694671434,1609.22162396352,10.0736836024596,14.3001542917174,5.87293307741785,0.020483377,1.04726445939918,2.092389294,3.13965375378804,1.50333014901132,1.41243422375172,0.496647902723108,0.242312250671579,0.738960153394686,1.97981878546326,500156.2,292793.7
"Leaf_16S_F19_R1","F19","R1","13",1,4,"A7",NA,"Microbiome",NA,"Leaf","MOCCA","E34","Microbiome_Leaf_MOCCA_E34","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F19_R2","F19","R2","13",1,4,"B7",NA,"Microbiome",NA,"Leaf","MOCCA","E37","Microbiome_Leaf_MOCCA_E37","Sample","NovaSeq","DiseaseCOD","DiseaseCOD_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
"Leaf_16S_F19_R3","F19","R3","13",1,4,"C7",NA,"Microbiome",NA,"Leaf","MOCCA","CE25","Microbiome_Leaf_MOCCA_CE25","Sample","NovaSeq","Control","Control_Leaf","MOCCA Leaf","Moccas Park","AOD",1,"Y",75.60000038,361,0.589939171,102.591049802407,82.2508069966361,1015.09169602442,10.4702027127386,748.001407687541,2.37448221131812,3.38769477451315,1525.6258266755,10.3865181440589,14.5524783780826,6.16428264612702,0.0267133504210385,1.01777161864032,2.4123507376651,3.43012235630542,1.39463324625171,1.14148810021675,0.631676545121484,0.533760850426514,1.165437395548,5.3373514195248,334962,243136
